timestamp,device_id,publish_latency_ms,success
2025-11-09T23:19:29-05:00,watch-0004,274,1
2025-11-09T23:19:29-05:00,watch-0007,643,1
2025-11-09T23:19:30-05:00,watch-0000,1240,1
2025-11-09T23:19:30-05:00,watch-0005,1388,1
2025-11-09T23:19:30-05:00,watch-0001,1388,1
2025-11-09T23:19:30-05:00,watch-0006,1479,1
2025-11-09T23:19:30-05:00,watch-0002,1707,1
2025-11-09T23:19:31-05:00,watch-0008,1847,1
2025-11-09T23:19:31-05:00,watch-0009,2022,1
2025-11-09T23:19:31-05:00,watch-0003,2134,1
2025-11-09T23:19:31-05:00,watch-0005,136,1
2025-11-09T23:19:31-05:00,watch-0000,136,1
2025-11-09T23:19:31-05:00,watch-0008,182,1
2025-11-09T23:19:31-05:00,watch-0002,585,1
2025-11-09T23:19:31-05:00,watch-0006,698,1
2025-11-09T23:19:31-05:00,watch-0007,750,1
2025-11-09T23:19:31-05:00,watch-0004,754,1
2025-11-09T23:19:31-05:00,watch-0001,755,1
2025-11-09T23:19:32-05:00,watch-0009,937,1
2025-11-09T23:19:32-05:00,watch-0003,1175,1
2025-11-09T23:19:33-05:00,watch-0003,7,1
2025-11-09T23:19:33-05:00,watch-0009,14,1
2025-11-09T23:19:33-05:00,watch-0000,57,1
2025-11-09T23:19:33-05:00,watch-0005,57,1
2025-11-09T23:19:33-05:00,watch-0006,57,1
2025-11-09T23:19:33-05:00,watch-0002,57,1
2025-11-09T23:19:33-05:00,watch-0001,57,1
2025-11-09T23:19:33-05:00,watch-0008,57,1
2025-11-09T23:19:33-05:00,watch-0004,57,1
2025-11-09T23:19:33-05:00,watch-0007,57,1
2025-11-09T23:19:35-05:00,watch-0002,7,1
2025-11-09T23:19:35-05:00,watch-0003,9,1
2025-11-09T23:19:35-05:00,watch-0008,56,1
2025-11-09T23:19:35-05:00,watch-0007,56,1
2025-11-09T23:19:35-05:00,watch-0000,56,1
2025-11-09T23:19:35-05:00,watch-0005,56,1
2025-11-09T23:19:35-05:00,watch-0004,56,1
2025-11-09T23:19:35-05:00,watch-0006,56,1
2025-11-09T23:19:35-05:00,watch-0001,56,1
2025-11-09T23:19:35-05:00,watch-0009,56,1
2025-11-09T23:19:37-05:00,watch-0007,5,1
2025-11-09T23:19:37-05:00,watch-0002,9,1
2025-11-09T23:19:37-05:00,watch-0000,57,1
2025-11-09T23:19:37-05:00,watch-0006,57,1
2025-11-09T23:19:37-05:00,watch-0004,57,1
2025-11-09T23:19:37-05:00,watch-0005,57,1
2025-11-09T23:19:37-05:00,watch-0003,57,1
2025-11-09T23:19:37-05:00,watch-0001,57,1
2025-11-09T23:19:37-05:00,watch-0008,57,1
2025-11-09T23:19:37-05:00,watch-0009,57,1
2025-11-09T23:19:39-05:00,watch-0003,357,1
2025-11-09T23:19:39-05:00,watch-0008,359,1
2025-11-09T23:19:39-05:00,watch-0000,488,1
2025-11-09T23:19:39-05:00,watch-0006,493,1
2025-11-09T23:19:39-05:00,watch-0001,752,1
2025-11-09T23:19:39-05:00,watch-0007,822,1
2025-11-09T23:19:40-05:00,watch-0002,891,1
2025-11-09T23:19:40-05:00,watch-0009,1031,1
2025-11-09T23:19:40-05:00,watch-0005,1070,1
2025-11-09T23:19:40-05:00,watch-0004,1096,1
2025-11-09T23:19:41-05:00,watch-0004,5,1
2025-11-09T23:19:41-05:00,watch-0005,8,1
2025-11-09T23:19:41-05:00,watch-0009,9,1
2025-11-09T23:19:41-05:00,watch-0003,12,1
2025-11-09T23:19:41-05:00,watch-0000,18,1
2025-11-09T23:19:41-05:00,watch-0001,21,1
2025-11-09T23:19:41-05:00,watch-0006,23,1
2025-11-09T23:19:41-05:00,watch-0002,26,1
2025-11-09T23:19:41-05:00,watch-0008,30,1
2025-11-09T23:19:41-05:00,watch-0007,30,1
2025-11-09T23:19:43-05:00,watch-0008,18,1
2025-11-09T23:19:43-05:00,watch-0004,43,1
2025-11-09T23:19:43-05:00,watch-0009,95,1
2025-11-09T23:19:43-05:00,watch-0007,111,1
2025-11-09T23:19:43-05:00,watch-0003,114,1
2025-11-09T23:19:43-05:00,watch-0000,123,1
2025-11-09T23:19:43-05:00,watch-0002,126,1
2025-11-09T23:19:43-05:00,watch-0005,128,1
2025-11-09T23:19:43-05:00,watch-0001,135,1
2025-11-09T23:19:43-05:00,watch-0006,137,1
2025-11-09T23:19:45-05:00,watch-0006,476,1
2025-11-09T23:19:45-05:00,watch-0005,577,1
2025-11-09T23:19:45-05:00,watch-0008,704,1
2025-11-09T23:19:46-05:00,watch-0009,852,1
